network,dl,ul,rtt,loss
,3.8,3.8,30,0
,3.8,3.8,30,0
,3.8,3.8,30,0
,3.8,3.8,30,0
,3.8,3.8,30,0
,3.8,3.8,30,0
,3.8,3.8,30,0
,3.8,3.8,30,0
,3.8,3.8,30,0
,3.8,3.8,30,0
,2.8,2.8,30,0
,2.8,2.8,30,0
,2.8,2.8,30,0
,2.8,2.8,30,0
,2.8,2.8,30,0
,2.8,2.8,30,0
,2.8,2.8,30,0
,2.8,2.8,30,0
,2.8,2.8,30,0
,2.8,2.8,30,0
,1.8,1.8,30,0
,1.8,1.8,30,0
,1.8,1.8,30,0
,1.8,1.8,30,0
,1.8,1.8,30,0
,1.8,1.8,30,0
,1.8,1.8,30,0
,1.8,1.8,30,0
,1.8,1.8,30,0
,1.8,1.8,30,0
,1.1,1.1,30,0
,1.1,1.1,30,0
,1.1,1.1,30,0
,1.1,1.1,30,0
,1.1,1.1,30,0
,1.1,1.1,30,0
,1.1,1.1,30,0
,1.1,1.1,30,0
,1.1,1.1,30,0
,1.1,1.1,30,0
